,method,fold,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21
64,perm,5,0.0,-0.00564334085778781,0.0,0.01918735891647855,0.020880361173814893,0.0767494356659142,0.13656884875846495,0.05135440180586906,0.0474040632054176,0.09593679458239276,0.15011286681715572,0.12076749435665912,0.05869074492099322,0.018058690744920988,0.11963882618510155,0.014672686230248306,0.053611738148984185,0.013544018058690741,0.01128668171557562,-0.002821670428893905,0.0
65,gini,5,0.0,0.006728753487912578,0.004305063748235729,0.011515670635870605,0.02813552567332321,0.06360131515840894,0.2540937528264918,0.03276350684222531,0.02811516299076407,0.048288658049176626,0.23171575451968657,0.06281903832560097,0.03843360716655143,0.028312522403138647,0.08668353576732483,0.02768563958571146,0.024101668915691737,0.013494678886881946,0.005929879316709033,0.003276265700294444,0.0
66,shap,5,0.0,0.006873070559085177,0.004378114109434884,0.012700680362083978,0.05801779253817197,0.06818161430943327,0.1267127251506062,0.045867209010492155,0.052610422268557964,0.0777025403072027,0.17648959203066153,0.07946532159027853,0.04979674096270716,0.035256312879566404,0.09712584028483719,0.04177365603404993,0.037876278520011096,0.019651257019476048,0.007257596071676111,0.0022632359916675113,0.0
67,support_impurity_centrality,5,0.0,0.016326351840856276,0.014226891192824484,0.022974929125738095,0.06911292829296173,0.07228288453324361,0.10801505487583717,0.05637539537035853,0.03950940961604625,0.07713939130993698,0.14149163173780624,0.07116176885819567,0.05465862534141058,0.046727079849252305,0.07445645545943849,0.04963809128580663,0.03809592241710568,0.03076504964851149,0.01086669044958302,0.006175448795086767,0.0
68,confidence_impurity_centrality,5,0.0,0.034281545344352904,0.03038517939764162,0.026907606424402566,0.06447110368512216,0.06358916209073114,0.10705988680441177,0.06725099313051161,0.050660242766571086,0.05411898490380421,0.0986729319129881,0.05415080259988547,0.058832948318518125,0.046505122986091225,0.07629841527056147,0.06366193446310649,0.040714696597227026,0.03837334688126336,0.012532685782203318,0.011532410640606285,0.0
69,lift_impurity_centrality,5,0.0,0.036298756173695323,0.033777250077812744,0.033704813464736444,0.06236003194862304,0.06170225177962704,0.08804161432858676,0.06376397064177507,0.05364284694941871,0.056588360844284355,0.0815238009931385,0.05621540908845745,0.06002506696035128,0.05178926436466761,0.07408106361356451,0.05991355238604252,0.046927241672108884,0.04546884680823806,0.01791006695853473,0.01626579094633703,0.0
70,equal_impurity_centrality,5,0.0,0.0341250506675529,0.030035659080676947,0.027510689754192394,0.06453866098350443,0.0638137441611924,0.10625984684614352,0.06707715608438956,0.05051880951166123,0.054691866206626694,0.09880265883893014,0.05485093494655463,0.05859806178341656,0.0465650896378023,0.07562963902177433,0.06353516961672756,0.04062204745525274,0.038651878547985734,0.01241822381373551,0.011754813041880176,0.0
71,relevance_impurity_centrality,5,0.0,0.016439876042963722,0.014262000038738913,0.022925439792409255,0.06906372704992676,0.0719740212471844,0.10752150509516963,0.056281323134698726,0.039792034652876195,0.07731127515351804,0.1414558335611315,0.07122778925222198,0.05431652735762265,0.04653503330416151,0.07473386205954136,0.04966828683130866,0.0384850270358452,0.030950688127514055,0.010858125688029135,0.0061976245751383064,0.0
72,support_relevance_centrality,5,0.0,0.0009132347351272872,3.754327492714669e-07,6.106254387796611e-05,0.009571195799744463,0.02687394630395881,0.43422958103110326,0.010868928209361698,0.014226472822713658,0.031689569716080494,0.2011868684225895,0.1060973813166643,0.06751094791732516,0.009844955792919318,0.06277707448693955,0.011204196559087875,0.011443618650424028,0.001118714632329353,0.00031941317708508406,6.246244991892284e-05,0.0
73,confidence_relevance_centrality,5,0.0,0.0010724847181657483,6.027949014627839e-06,0.0002484660598782917,0.015399446429802385,0.029073062599204065,0.41649569604528525,0.014395841688360058,0.01597954462994255,0.039487007366639564,0.19687150486521462,0.10797870893450234,0.07044563480482012,0.00960973429914514,0.055604078932495166,0.0127923046607218,0.011518993620716404,0.002263261942412741,0.0005543400305984858,0.0002038604230806343,0.0
