,method,fold,Clump_thickness,Uniformity_of_cell_size,Uniformity_of_cell_shape,Marginal_adhesion,Single_epithelial_cell_size,Bare_nuclei,Bland_chromatin,Normal_nucleoli,Mitoses
114,lift_relevance_centrality,8,0.012635214238246328,0.9390489131972503,4.1567944601569645e-07,0.0,0.0,0.04698935738362376,0.0012587060926558548,6.739340877783803e-05,0.0
115,equal_relevance_centrality,8,0.01989574372516015,0.9065684994555124,3.624195176798915e-07,0.0,0.0,0.07237891104165617,0.0010491590467720294,0.0001073243113815546,0.0
116,relevance_relevance_centrality,8,0.044741936875437684,0.7955770190592176,8.400392286363428e-09,0.0,0.0,0.15820348703056525,0.0014642693992686791,1.3279235118520296e-05,0.0
117,perm,9,0.008928571428571468,0.7455357142857142,0.0,0.008928571428571468,0.0,0.2232142857142857,0.0,0.013392857142857201,0.0
118,gini,9,0.06988778480600452,0.752404121228164,0.005120859927329186,0.026598387727057526,0.0,0.13520745504762485,0.0,0.010781391263819759,0.0
119,shap,9,0.14170549014037787,0.4725111351498667,0.038937968605599775,0.033285402632044894,0.0,0.30408383770372654,0.0,0.009476165768384271,0.0
120,support_impurity_centrality,9,0.266165143222317,0.24949263393254706,0.04952162313344492,0.07260561536377871,0.0,0.32234899156477986,0.0,0.03986599278313246,0.0
121,confidence_impurity_centrality,9,0.1984189594931035,0.2752030681414605,0.21834330432873705,0.056238280689545325,0.0,0.23787501535824587,0.0,0.013921371988907767,0.0
122,lift_impurity_centrality,9,0.24203193448928145,0.22994375601272662,0.21794019409337886,0.07985749303559729,0.0,0.216913162041178,0.0,0.013313460327837737,0.0
123,equal_impurity_centrality,9,0.19748283185661314,0.27581459846812084,0.2166500070977469,0.0566251303485697,0.0,0.23961402334297655,0.0,0.013813408885972813,0.0
124,relevance_impurity_centrality,9,0.2971974657762803,0.22136745504910404,0.05047354058815882,0.09815181174275062,0.0,0.3037281187216606,0.0,0.02908160812204559,0.0
125,support_relevance_centrality,9,0.06895926285954583,0.7226957940712259,6.301498369547289e-09,0.002514137896673001,0.0,0.20582453770389122,0.0,6.2611671657020265e-06,0.0
126,confidence_relevance_centrality,9,0.05939049334122333,0.7495257948467908,9.60419105178079e-07,0.007903923307792715,0.0,0.18308426374293763,0.0,9.456434215033806e-05,0.0
127,lift_relevance_centrality,9,0.053609445638816575,0.7657890142104378,1.5030869190184625e-06,0.012836389444738867,0.0,0.1676806625771609,0.0,8.298504192690725e-05,0.0
128,equal_relevance_centrality,9,0.058694445516000775,0.7514187414253927,9.475443736583009e-07,0.007797968636553767,0.0,0.18199460020139457,0.0,9.329667628450306e-05,0.0
129,relevance_relevance_centrality,9,0.06896543530609799,0.721479851730237,1.1652926734358245e-08,0.0047391778491215905,0.0,0.20480931318567608,0.0,6.210275940592136e-06,0.0
