,method,fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
20,relevance_impurity_centrality,1,0.11557425219242161,0.0,0.0,0.0,0.0,0.0,0.006563276710202839,0.00024741801526951613,0.0,0.01049104668977948,0.19615118907126045,0.0,0.39605047697390283,0.0,0.0,0.255285998484205,0.0,0.0,0.0,0.006166792391867747,0.0,0.013469549471090523
21,support_relevance_centrality,1,0.23517961156126177,0.0,0.0,0.0,0.0,0.0,0.0009987722403119734,0.005317258567468432,0.0,0.0017162172399261088,0.11152177140185021,0.0,0.5349279961220972,0.0,0.0,0.09370186601587029,0.0,0.0,0.0,0.0002328208121849785,0.0,0.016403686039029017
22,confidence_relevance_centrality,1,0.24253710447100774,0.0,0.0,0.0,0.0,0.0,0.0037606496132858514,0.0045640208057852365,0.0,0.005479024693957397,0.11867216239197736,0.0,0.5115329721193798,0.0,0.0,0.09702715944295318,0.0,0.0,0.0,0.0008608476743064142,0.0,0.015566058787347016
23,lift_relevance_centrality,1,0.233497193241525,0.0,0.0,0.0,0.0,0.0,0.0011400871754031045,0.0013836400372923064,0.0,0.0016610286989581708,0.11599286101742944,0.0,0.5433420962720003,0.0,0.0,0.09800308307417586,0.0,0.0,0.0,0.0002609767481058139,0.0,0.004719033735110072
24,equal_relevance_centrality,1,0.24678167090235748,0.0,0.0,0.0,0.0,0.0,0.0023278334552303552,0.0028251183743734525,0.0,0.003875911180074613,0.11703840550579997,0.0,0.5219770710295781,0.0,0.0,0.09500577226047692,0.0,0.0,0.0,0.0005328627290955745,0.0,0.009635354563013517
25,relevance_relevance_centrality,1,0.23067852039779832,0.0,0.0,0.0,0.0,0.0,0.0003148316618288782,0.0016760992551142224,0.0,0.0005160997818314857,0.11386017348353399,0.0,0.5506725723789387,0.0,0.0,0.09703756587797058,0.0,0.0,0.0,7.338947033191473e-05,0.0,0.005170747692651838
26,perm,2,-0.032258064516128754,0.0,0.0,-0.09677419354838684,0.0,0.0,0.25806451612903225,0.0,0.0,-0.19354838709677377,0.03225806451612924,0.0,1.032258064516128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,gini,2,0.19177601200109715,0.007877427374330661,0.0,0.03749352452205444,0.015043698110700924,0.0,0.13645465348242777,0.0026075743391882717,0.0,0.10004392488025417,0.09153988028992317,0.0,0.3516689942549173,0.03796482359573242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027529487149373737
28,shap,2,0.08804998711344902,0.018258833020572726,0.0,0.05746566160287924,0.03401238614934139,0.0,0.11979586657058147,0.026836239484545155,0.0,0.1514370982820548,0.08515345274200381,0.0,0.2630350718123221,0.024576725708235533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13137867751401486
29,support_impurity_centrality,2,0.20428671619755007,0.008288093176555407,0.0,0.05788142565633093,0.007681309520229283,0.0,0.16624412923597057,0.0005327630980823747,0.0,0.08097509867009148,0.10087031167957047,0.0,0.3226722472974553,0.020090727131498183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030477178336665932
