,method,fold,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
38,relevance_relevance_centrality,2,0.0,0.20684146064896955,0.0,0.6231252216536406,0.0030153585670987513,0.0,0.0007344868581069475,0.0,0.034378750458931955,0.0,0.0,0.10962625383160583,2.5544788765618824e-05,0.0222529231928807,0.0,0.0
39,perm,3,0.0,0.3026315789473684,0.0,0.5131578947368419,0.0,0.0263157894736842,0.0,0.0,0.0,-0.0131578947368421,0.0,0.23684210526315785,-0.0657894736842105,0.0,0.0,0.0
40,gini,3,0.0,0.21386415040995194,0.0,0.3857435679954764,0.0,0.032562022900763356,0.0,0.0,0.08132418425385421,0.09798402185301604,0.0,0.1422116200169635,0.046310432569974545,0.0,0.0,0.0
41,shap,3,0.0,0.1938942662841759,0.0,0.39136261947094636,0.0,0.07185405821772885,0.0,0.0,0.11198808681258457,0.05912137041718984,0.0,0.14415487781005867,0.02762472098731582,0.0,0.0,0.0
42,support_impurity_centrality,3,0.0,0.14347415325571147,0.0,0.24324630836043334,0.0,0.10186716653245144,0.0,0.0,0.16758766726561036,0.2007056619468984,0.0,0.05412996151653659,0.08898908112235838,0.0,0.0,0.0
43,confidence_impurity_centrality,3,0.0,0.16900117903590853,0.0,0.17836467106858928,0.0,0.15429165764413574,0.0,0.0,0.17555725849449075,0.20351190734221208,0.0,0.039433311726339,0.07984001468832472,0.0,0.0,0.0
44,lift_impurity_centrality,3,0.0,-0.01176689565161712,0.0,0.1784306370143047,0.0,0.05095700861857055,0.0,0.0,0.17236520298718236,0.4610445642388125,0.0,0.07297804189943048,0.07599144089331664,0.0,0.0,0.0
45,equal_impurity_centrality,3,0.0,0.16900117903590853,0.0,0.17836467106858928,0.0,0.15429165764413574,0.0,0.0,0.17555725849449075,0.20351190734221208,0.0,0.039433311726339,0.07984001468832472,0.0,0.0,0.0
46,relevance_impurity_centrality,3,0.0,0.18733978227763667,0.0,0.20243848465775363,0.0,0.17184571687550912,0.0,0.0,0.13454706354756538,0.2071068592870967,0.0,0.03163072709490363,0.06509136625953488,0.0,0.0,0.0
47,support_relevance_centrality,3,0.0,0.10594266341450997,0.0,0.8538467675181785,0.0,0.0017738606949229412,0.0,0.0,0.006816295527487739,0.002708986830536387,0.0,0.02825348248213386,0.0006579435322306736,0.0,0.0,0.0
48,confidence_relevance_centrality,3,0.0,0.19348011877517277,0.0,0.6699585144410669,0.0,0.012860090518430746,0.0,0.0,0.04071776656657675,0.010362788311389768,0.0,0.07012547095502181,0.0024952504323412393,0.0,0.0,0.0
49,lift_relevance_centrality,3,0.0,0.32609608785699445,0.0,0.2664978778372327,0.0,0.0647033265435419,0.0,0.0,0.16609955502818732,0.03082155372686392,0.0,0.1391105181180652,0.0066710808891147074,0.0,0.0,0.0
50,equal_relevance_centrality,3,0.0,0.19348011877517277,0.0,0.6699585144410669,0.0,0.012860090518430746,0.0,0.0,0.04071776656657675,0.010362788311389768,0.0,0.07012547095502181,0.0024952504323412393,0.0,0.0,0.0
51,relevance_relevance_centrality,3,0.0,0.19068035027095265,0.0,0.6801901223596083,0.0,0.01130767245610628,0.0,0.0,0.03432238234800553,0.009599356393896386,0.0,0.0716195993934109,0.0022805167780200037,0.0,0.0,0.0
52,perm,4,0.0,0.2705882352941177,0.0,0.3882352941176471,0.047058823529411764,0.07058823529411762,0.0,0.0,0.12941176470588237,0.0,0.0,0.0941176470588235,0.0,0.0,0.0,0.0
53,gini,4,0.0,0.22442396455071834,0.0,0.40368146077608363,0.08478860506093232,0.03399939113829463,0.00705172556942408,0.0,0.09074899214937406,0.0,0.0,0.15530586075517303,0.0,0.0,0.0,0.0
54,shap,4,0.0,0.20077178375763383,0.0,0.4052444295168858,0.08434882214312518,0.051731116559629385,0.01673098180308781,0.0,0.11488093769320232,0.0,0.0,0.1262919285264355,0.0,0.0,0.0,0.0
55,support_impurity_centrality,4,0.0,0.23173234840439064,0.0,0.3121710608221664,0.07823106531983143,0.08561273060438791,0.007684452814787354,0.0,0.1804732373667713,0.0,0.0,0.10409510466766499,0.0,0.0,0.0,0.0
