,method,fold,age,sex,on_thyroxine,query_on_thyroxine,on_antithyroid_medication,thyroid_surgery,query_hypothyroid,query_hyperthyroid,pregnant,sick,tumor,lithium,goitre,TSH_measured,TSH,T3_measured,T3,TT4_measured,TT4,T4U_measured,T4U,FTI_measured,FTI,TBG_measured,TBG
47,support_relevance_centrality,3,8.470184481663722e-05,3.0018073736313187e-10,0.0,0.0,2.650943265942805e-06,8.201086022295748e-05,1.6011328122379774e-07,0.0,0.0,0.0,1.116724182584594e-11,0.0,0.0,0.0,0.9546407156436999,0.0,0.013881495152112865,0.0,3.494253883622761e-06,0.0,0.011788947918405518,0.0,0.019515822958963404,0.0,0.0
48,confidence_relevance_centrality,3,0.0005077129563049933,7.121457017838013e-08,0.0,0.0,0.00010310696947934664,0.00039927558618998245,1.1073819401760174e-05,0.0,0.0,0.0,1.7067574355903095e-08,0.0,0.0,0.0,0.8736789190988251,0.0,0.023198863741447053,0.0,7.62040320244223e-05,0.0,0.011157402495404525,0.0,0.09086735301877824,0.0,0.0
49,lift_relevance_centrality,3,0.0018832923707595556,3.7281652427402534e-07,0.0,0.0,0.0014975613649875644,0.00029802031122243505,0.00013539950189805678,0.0,0.0,0.0,2.518338340517758e-07,0.0,0.0,0.0,0.6940450875081139,0.0,0.05412222450819924,0.0,0.00028746644961670975,0.0,0.013350572742292968,0.0,0.2343797505925512,0.0,0.0
50,equal_relevance_centrality,3,0.0005081854385328512,7.121422098914109e-08,0.0,0.0,0.00010310646391083557,0.00039927362840609415,1.1125519614472509e-05,0.0,0.0,0.0,1.706749066778581e-08,0.0,0.0,0.0,0.873674945542737,0.0,0.023199114118531653,0.0,7.620365837015622e-05,0.0,0.011157398072187488,0.0,0.09087055927599784,0.0,0.0
51,relevance_relevance_centrality,3,0.0001343439433722676,5.774382802411791e-10,0.0,0.0,5.2328897631593795e-05,8.132657365461601e-05,2.5624560574472336e-06,0.0,0.0,0.0,2.2019277744445824e-10,0.0,0.0,0.0,0.9482627472600691,0.0,0.01449445936387848,0.0,3.7272859431065074e-06,0.0,0.011767099481916543,0.0,0.02520140393984584,0.0,0.0
52,perm,4,0.010958904109589098,0.0,0.0,0.0,0.0027397260273972746,0.008219178082191825,0.0,0.0,0.0,-0.0027397260273972746,0.0,0.0,0.0,0.024657534246575474,0.3397260273972603,0.0,0.21369863013698617,0.0,0.021917808219178197,0.0,0.10136986301369849,0.0,0.27945205479452045,0.0,0.0
53,gini,4,0.024672448263430784,0.0,0.0,0.0,0.009957565550942104,0.007244546026058719,0.0,0.0,0.0,0.009993631117846255,0.0,0.0,0.0,0.04899513036871529,0.2955202068174484,0.0,0.12593288393235152,0.0,0.03084293444972791,0.0,0.09177833497807203,0.0,0.3550623184954069,0.0,0.0
54,shap,4,0.03554091769567046,0.0,0.0,0.0,0.003938959983339237,0.015705817673726363,0.0,0.0,0.0,0.003366776617505569,0.0,0.0,0.0,0.040132777216784474,0.33433439563700923,0.0,0.16511646339508879,0.0,0.02278477132867139,0.0,0.06692243293641323,0.0,0.31215668751579106,0.0,0.0
55,support_impurity_centrality,4,0.08254239902859849,0.0,0.0,0.0,0.02931489166484308,0.0022527092468943473,0.0,0.0,0.0,0.019965885166288284,0.0,0.0,0.0,0.16540675500615282,0.3186561906126966,0.0,0.07362051027329469,0.0,0.04839841163672572,0.0,0.13303994946890932,0.0,0.12680229789559663,0.0,0.0
56,confidence_impurity_centrality,4,0.1711916983069912,0.0,0.0,0.0,0.004393182497316909,0.0007013424055329608,0.0,0.0,0.0,0.08683289542996415,0.0,0.0,0.0,0.03512526203526405,0.24818750752332713,0.0,0.11502901539099485,0.0,0.11507003255524595,0.0,0.10424427037945405,0.0,0.11922479347590863,0.0,0.0
