,method,fold,right-distance,right-weight,left-distance,left-weight
95,confidence_impurity_centrality,7,0.2053108099167246,0.28175119970414936,0.2515904775253224,0.2613475128538036
96,lift_impurity_centrality,7,0.22003360886582315,0.2667060532873006,0.2482664229742148,0.2649939148726612
97,equal_impurity_centrality,7,0.2126539231591061,0.27860236750177353,0.2508639306796047,0.2578797786595158
98,relevance_impurity_centrality,7,0.22652953157990152,0.2886667297863495,0.2541191514696246,0.23068458716412438
99,support_relevance_centrality,7,0.2717098158009271,0.15278972992993073,0.35874148637295716,0.21675896789618498
100,confidence_relevance_centrality,7,0.27820968019197145,0.15848322882062982,0.344792068113466,0.21851502287393273
101,lift_relevance_centrality,7,0.2777670222949489,0.16113784429171796,0.3412677752747212,0.21982735813861198
102,equal_relevance_centrality,7,0.27057534461701227,0.16243796549019282,0.364639243583048,0.2023474463097469
103,relevance_relevance_centrality,7,0.27430851161432124,0.15299844136856272,0.3513582777758735,0.22133476924124257
104,perm,8,0.19029850746268653,0.2798507462686567,0.3432835820895522,0.18656716417910443
105,gini,8,0.22719636846777755,0.2629978995154967,0.2515740168289953,0.2582317151877305
106,shap,8,0.23724658765946108,0.25693984373284734,0.2590102028502549,0.2468033657574366
107,support_impurity_centrality,8,0.23966029457335225,0.2519010882693261,0.25745855920077976,0.2509800579565418
108,confidence_impurity_centrality,8,0.25001997655049396,0.24989377874644386,0.250081626262369,0.25000461844069305
109,lift_impurity_centrality,8,0.25,0.25,0.25,0.25
