,method,fold,deg-malig,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,menopause_ge40,menopause_lt40,menopause_premeno,tumor-size_0-4,tumor-size_14-Oct,tumor-size_15-19,tumor-size_20-24,tumor-size_25-29,tumor-size_30-34,tumor-size_35-39,tumor-size_40-44,tumor-size_45-49,tumor-size_50-54,tumor-size_9-May,inv-nodes_0-2,inv-nodes_11-Sep,inv-nodes_14-Dec,inv-nodes_15-17,inv-nodes_24-26,inv-nodes_5-Mar,inv-nodes_8-Jun,node-caps_no,node-caps_yes,breast_left,breast_right,breast-quad_central,breast-quad_left_low,breast-quad_left_up,breast-quad_right_low,breast-quad_right_up,irradiat_no,irradiat_yes
45,equal_impurity_centrality,3,0.18195559528183486,0.0,0.0,0.0,0.0,0.004823520948933631,0.0,0.0,0.027378451088369598,0.0,0.0,0.00022089384046584053,0.0,0.0,0.038348474808291115,0.0,0.011959673512372591,0.02445225004194604,0.0,0.0,0.0,0.011783883710125261,0.0,0.0,0.0,0.0,0.0,0.11927913546629772,0.2625570779135676,0.0,0.0,0.06628293788121595,0.0,0.0,0.007944659455719226,0.0,0.24301344605086064,0.0,0.0
46,relevance_impurity_centrality,3,0.3261260329651652,0.0,0.0,0.0,0.0,0.011388305236993718,0.0,0.0,0.02881885987884032,0.0,0.0,0.0021777116478296646,0.0,0.0,0.058300791807500696,0.0,0.00956520410130667,0.0405404979941486,0.0,0.0,0.0,0.04259831989923029,0.0,0.0,0.0,0.0,0.0,0.06144168258761206,0.19884534473555357,0.0,0.0,0.0729166797701365,0.0,0.0,0.01078862645800316,0.0,0.1364919429176796,0.0,0.0
47,support_relevance_centrality,3,0.5853458693842349,0.0,0.0,0.0,0.0,0.001770910035463134,0.0,0.0,5.907209952599695e-05,0.0,0.0,0.0056056882015503105,0.0,0.0,0.0013067619414686867,0.0,0.06073684767204486,0.0003034237035633547,0.0,0.0,0.0,0.010420735487362371,0.0,0.0,0.0,0.0,0.0,5.299322062057932e-05,0.33423844460767166,0.0,0.0,4.1194063656912306e-06,0.0,0.0,0.00015422576389786607,0.0,9.084762305302605e-07,0.0,0.0
48,confidence_relevance_centrality,3,0.5539064633288195,0.0,0.0,0.0,0.0,0.0070697301488973465,0.0,0.0,0.0005764727278191971,0.0,0.0,0.025454792685949957,0.0,0.0,0.005178873698435727,0.0,0.05988445484178599,0.0016080143978566182,0.0,0.0,0.0,0.04112787046784286,0.0,0.0,0.0,0.0,0.0,0.0007327311480549605,0.30282802373783874,0.0,0.0,0.00011651010628371332,0.0,0.0,0.0014659580089897675,0.0,5.0104701425545e-05,0.0,0.0
49,lift_relevance_centrality,3,0.5410280716615076,0.0,0.0,0.0,0.0,0.008356763948384685,0.0,0.0,0.0007861584804794382,0.0,0.0,0.024075012242298934,0.0,0.0,0.005944899244150972,0.0,0.06411186319818567,0.0034711822157239523,0.0,0.0,0.0,0.06235576500679434,0.0,0.0,0.0,0.0,0.0,0.0016316102484619874,0.2865008014330023,0.0,0.0,0.0002400897073402584,0.0,0.0,0.001386493831944537,0.0,0.000111288781725431,0.0,0.0
50,equal_relevance_centrality,3,0.5545070051863241,0.0,0.0,0.0,0.0,0.008173561486297196,0.0,0.0,0.0006285644826559706,0.0,0.0,0.02085770798298829,0.0,0.0,0.00567305249920997,0.0,0.05829680388727674,0.0017762417466137433,0.0,0.0,0.0,0.04664969045794471,0.0,0.0,0.0,0.0,0.0,0.0006004013666395244,0.30123826126660247,0.0,0.0,0.00010247547386507157,0.0,0.0,0.0014551782711299227,0.0,4.105589245225603e-05,0.0,0.0
51,relevance_relevance_centrality,3,0.580127973616945,0.0,0.0,0.0,0.0,0.002255074615758396,0.0,0.0,8.015960041289169e-05,0.0,0.0,0.0075927139363915494,0.0,0.0,0.0016222020881942552,0.0,0.059770368830069774,0.0009425908979925223,0.0,0.0,0.0,0.019407923849667,0.0,0.0,0.0,0.0,0.0,0.00017044826059415814,0.3278142817912833,0.0,0.0,1.2398868606127344e-05,0.0,0.0,0.00020095375903358227,0.0,2.909885051462596e-06,0.0,0.0
52,perm,4,0.26666666666666683,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6666666666666662,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06666666666666692,-0.0,-0.0,-0.0
53,gini,4,0.32565869942854286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12963119741879173,0.0,0.07596004699602849,0.0,0.06131742317647224,0.0,0.08862214437869197,0.0,0.03145854966730148,0.0,0.13247574816040542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0821365432743058,0.0,0.0,0.0,0.03474582239216595,0.0,0.03799382510729394,0.0,0.0,0.0
54,shap,4,0.3429095907935152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07566947569613168,0.0,0.16354970371328104,0.0,0.012271222785194097,0.0,0.049346478226550625,0.0,0.07651883243133857,0.0,0.13978541524701052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050460115319455066,0.0,0.0,0.0,0.02009941714781149,0.0,0.06938974863971176,0.0,0.0,0.0
55,support_impurity_centrality,4,0.2427362000379031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012788940746040192,0.0,0.04649531108649188,0.0,0.05985916406713709,0.0,0.0534728523380618,0.0,0.003006702210400077,0.0,0.36914594286052543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038260207943005366,0.0,0.0,0.0,0.1650882023233308,0.0,0.009146476387104256,0.0,0.0,0.0
56,confidence_impurity_centrality,4,0.16206483458043466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011064535523481463,0.0,0.0320971646554867,0.0,0.046414887879476126,0.0,0.07039116663790164,0.0,0.00018258687787455825,0.0,0.3377500515965114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03540861909282128,0.0,0.0,0.0,0.3049936200769657,0.0,0.00959061505017997,0.0,0.0,0.0
57,lift_impurity_centrality,4,0.21787704840260697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007320137616911272,0.0,0.021224971160457635,0.0,0.07256533232072196,0.0,0.05670493701386975,0.0,0.000120804229492953,0.0,0.3197784560452947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03887934340271165,0.0,0.0,0.0,0.2588636037127153,0.0,0.013253489950437812,0.0,0.0,0.0
58,equal_impurity_centrality,4,0.17680545794024094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012183779069040038,0.0,0.035268652465425716,0.0,0.05167761406618478,0.0,0.07246830737884669,0.0,0.00022105595854016714,0.0,0.334006974561882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03274159228900345,0.0,0.0,0.0,0.2866419586959042,0.0,0.008950008737068027,0.0,0.0,0.0
